736260,0.80
524220,0.70
499520,0.40
304430,0.95
337340,0.60
206440,0.70
501300,1.00
241930,0.30
752590,1.00
557600,0.85
609320,0.95
481510,0.90
635320,0.45
234270,0.85
319630,1.00
532210,1.00
581270,0.85
427290,0.75
480490,0.95
414340,1.00
403640,0.95
845070,0.80
237990,0.70
108710,0.75
48000,0.80
405640,0.65
237930,0.88
245150,0.35
225080,0.92
295790,0.67
388880,0.80
203160,0.87
387290,0.90
278360,0.84
238010,0.72
8870,0.92
205100,0.94
400,0.90
620,1.00
289650,0.74
242050,0.88
292030,1.00
257510,0.78
236390,0.00
489830,0.97
107100,0.74
391220,0.80
35720,0.65
220240,0.55
50300,0.64
367520,0.82
632070,0.73
554620,0.89
574310,0.77
221910,0.58
258520,0.82
224760,0.54
366320,0.78
40700,0.69
512250,0.50
925550,0.00
495910,0.00
682080,0.00
353190,0.00
41700,0.00
608530,0.00
356790,0.00
500810,0.00
582660,0.00
465280,0.00
435480,0.00
534550,0.00
289070,0.00
220090,0.00
7620,0.00
274480,0.00
289440,0.00
263340,0.00
405540,0.00
503620,0.00
6830,0.00
99400,0.00
113020,0.00
350090,0.00
97110,0.00
231430,0.00
493340,0.00
334070,0.00
39650,0.00
874460,0.00
95900,0.00
6870,0.00
256030,0.00
284140,0.00
262060,0.00
2600,0.00
12330,0.00
12360,0.00
396280,0.00
438740,0.00
354180,0.00
1011390,0.00
266110,0.00
296850,0.00
266170,0.00
479110,0.00
312660,0.00
39210,0.00
678950,0.00
544750,0.00
678960,0.00
389730,0.00
212740,0.00
626690,0.00
306130,0.00
